PROTID	GENEID	18381_Liu_MAC3_C_GFP1_BIO1_S1_C12_1_INT	18382_Liu_MAC3_C_GFP2_BIO1_S1_D1_1_INT	18383_Liu_MAC3_C_GFP3_BIO1_S1_D2_1_INT	18385_Liu_MAC3_C_GFP4_BIO1_S1_D4_1_INT	18386_Liu_MAC3_C_GFP5_BIO1_S1_D5_1_INT	18387_Liu_MAC3_C_GFP6_BIO1_S1_D6_1_INT	18389_Liu_MAC3_C_GFP7_BIO1_S1_D8_1_INT	18390_Liu_MAC3_C_GFP8_BIO1_S1_D9_1_INT	18391_Liu_MAC3_C_GFP9_BIO1_S1_D10_1_INT	18422_Liu_MAC3_C_GFP1_BIO2_S3_A2_1_INT	18423_Liu_MAC3_C_GFP2_BIO2_S3_A3_1_INT	18424_Liu_MAC3_C_GFP3_BIO2_S3_A4_1_INT	18426_Liu_MAC3_C_GFP4_BIO2_S3_A6_1_INT	18427_Liu_MAC3_C_GFP5_BIO2_S3_A7_1_INT	18428_Liu_MAC3_C_GFP6_BIO2_S3_A8_1_INT	18430_Liu_MAC3_C_GFP7_BIO2_S3_A10_1_INT	18431_Liu_MAC3_C_GFP8_BIO2_S3_A11_1_INT	18432_Liu_MAC3_C_GFP9_BIO2_S3_A12_1_INT	18434_Liu_MAC3_C_GFP1_BIO3_S3_B2_1_INT	18435_Liu_MAC3_C_GFP2_BIO3_S3_B3_1_INT	18436_Liu_MAC3_C_GFP3_BIO3_S3_B4_1_INT	18438_Liu_MAC3_C_GFP4_BIO3_S3_B6_1_INT	18439_Liu_MAC3_C_GFP5_BIO3_S3_B7_1_INT	18440_Liu_MAC3_C_GFP6_BIO3_S3_B8_1_INT	18442_Liu_MAC3_C_GFP7_BIO3_S3_B10_1_INT	18443_Liu_MAC3_C_GFP8_BIO3_S3_B11_1_INT	18444_Liu_MAC3_C_GFP9_BIO3_S3_B12_1_INT	18446_Liu_MAC3_C_GFP1_AP1_S3_C2_1_INT	18447_Liu_MAC3_C_GFP2_AP1_S3_C3_1_INT	18448_Liu_MAC3_C_GFP3_AP1_S3_C4_1_INT	18450_Liu_MAC3_C_GFP4_AP1_S3_C6_1_INT	18451_Liu_MAC3_C_GFP5_AP1_S3_C7_1_INT	18452_Liu_MAC3_C_GFP6_AP1_S3_C8_1_INT	18454_Liu_MAC3_C_GFP7_AP1_S3_C10_1_INT	18455_Liu_MAC3_C_GFP8_AP1_S3_C11_1_INT	18456_Liu_MAC3_C_GFP9_AP1_S3_C12_1_INT	18458_Liu_MAC3_C_GFP1_AP2_S3_D2_1_INT	18459_Liu_MAC3_C_GFP2_AP2_S3_D3_1_INT	18460_Liu_MAC3_C_GFP3_AP2_S3_D4_1_INT	18462_Liu_MAC3_C_GFP4_AP2_S3_D6_1_INT	18463_Liu_MAC3_C_GFP5_AP2_S3_D7_1_INT	18464_Liu_MAC3_C_GFP6_AP2_S3_D8_1_INT	18466_Liu_MAC3_C_GFP7_AP2_S3_D10_1_INT	18467_Liu_MAC3_C_GFP8_AP2_S3_D11_1_INT	18468_Liu_MAC3_C_GFP9_AP2_S3_D12_1_INT	18470_Liu_MAC3_C_GFP1_AP3_S3_E2_1_INT	18471_Liu_MAC3_C_GFP2_AP3_S3_E3_1_INT	18472_Liu_MAC3_C_GFP3_AP3_S3_E4_1_INT	18474_Liu_MAC3_C_GFP4_AP3_S3_E6_1_INT	18475_Liu_MAC3_C_GFP5_AP3_S3_E7_1_INT	18476_Liu_MAC3_C_GFP6_AP3_S3_E8_1_INT	18478_Liu_MAC3_C_GFP7_AP3_S3_E10_1_INT	18479_Liu_MAC3_C_GFP8_AP3_S3_E11_1_INT	18480_Liu_MAC3_C_GFP9_AP3_S3_E12_1_INT
P62820	RAB1A	212333.31	202998.55	135789.48	154252.11	189398.75	79103.96	225396.45	216485.84	209261.27	246004.19	151886.25	136487.31	149771.36	156631.22	206012.66	234152.61	247500.58	225637.55	247534.81	240237.08	123259.95	115885.27	170187.0	137032.05	233595.66	191821.25	210769.81	216467.28	195169.62	231981.2	215018.53	199065.78	267976.6	294576.6	239146.03	207444.36	211738.72	201095.03	238658.03	221204.4	198392.9	252891.66	281817.66	224140.39	204365.62	229630.78	208442.16	244231.34	210101.0	205491.28	295952.72	303007.75	239970.05	200419.62
P62826	RAN	1.1507476E7	1.2348363E7	1.0779469E7	1.6481214E7	1.1083055E7	9694162.0	1.3847064E7	1.4286172E7	1.8490428E7	1.1985541E7	1.1819776E7	1.032422E7	1.4708281E7	9992985.0	9577485.0	1.2273888E7	1.3537672E7	1.806118E7	1.1519614E7	1.1578461E7	1.122195E7	1.4456921E7	9725912.0	9564594.0	1.2418153E7	1.2610197E7	1.7967418E7	7161620.0	4929377.0	4661238.5	4784363.0	7149609.5	6905044.5	5186885.0	5245709.5	6009656.0	6501449.5	4380700.5	5016383.5	4933413.5	6108301.0	5445364.0	5367392.5	4611326.5	5176503.5	6171697.5	4565363.0	5093340.5	3887520.2	5163962.0	5378450.5	4939564.0	5078906.0	4770477.0
P62829	RPL23	1004085.06	1117515.4	955197.94	855920.0	956893.8	913448.3	1315305.4	1330675.8	1790559.4	1051921.1	1184506.9	965921.7	822976.56	943400.2	934156.4	1418590.8	1474169.8	1809699.5	1007815.5	1183994.2	969427.9	813457.94	969433.25	929881.75	1265360.0	1491156.5	1856520.1	1310563.4	1805747.8	1528230.8	1821962.2	1431218.6	1738641.5	1587254.2	1904515.8	2325684.5	1312040.4	1793891.6	1538527.5	1883789.8	1345540.4	1846889.8	1682792.2	1837946.8	2140692.5	1292569.0	1591756.2	1569113.2	1756082.9	1416972.5	1799229.9	1643594.4	1894884.5	2119321.0
P62834	RAP1A	20402.611	17564.94	20651.223	15492.338	19251.69	20773.1	21268.676	18025.084	15672.264	21878.625	19692.176	17078.525	14615.803	17465.338	19272.59	22082.988	18704.508	15146.504	21231.016	20901.822	18652.215	14565.121	18352.818	21309.557	19917.867	18826.799	17565.86	57284.387	49819.33	49818.945	54291.438	51979.07	53482.344	49819.78	53584.65	58879.92	60635.004	51768.668	49135.234	56854.227	54389.87	50198.54	53766.797	52363.22	63347.344	55315.934	54434.125	49811.734	53378.227	54051.914	56903.64	54567.086	53781.332	59433.73
P62841	RPS15	539322.8	352857.66	499993.12	239534.14	448925.6	547019.94	450558.62	381685.66	264622.88	589639.8	360234.06	536634.8	286777.5	479731.6	547103.3	429296.7	332562.34	266295.75	553177.25	309616.34	536999.3	295388.34	514217.28	539674.1	439356.97	361299.3	269159.75	476001.34	418414.62	577843.8	506280.5	477993.22	616602.56	604350.25	671103.94	611598.1	486468.06	419873.56	528448.94	447087.56	501791.94	577099.8	610068.5	693952.5	533358.4	458000.88	470248.88	525863.25	458218.72	547841.4	640561.6	640355.4	722639.9	538530.0
P62847	RPS24	299696.2	338940.06	172973.31	321170.97	219375.25	170454.12	410161.84	459981.56	624681.94	327101.66	470046.0	174204.38	287470.7	222278.72	169019.88	444285.38	557905.75	731804.44	274443.78	420309.97	176680.94	272675.88	237562.8	173271.12	438358.84	525658.0	667837.2	549514.25	591546.8	583702.2	523874.22	553183.56	486245.22	547332.94	449029.38	698909.7	514186.47	561933.56	579133.94	531552.25	591905.6	475388.5	571453.06	409675.47	615467.0	480574.0	612077.9	556643.25	497310.62	554325.2	500899.7	552296.1	443135.47	631940.4
P62851	RPS25	22634.244	25082.086	28276.84	0	24721.0	30189.883	24965.984	26145.879	18877.234	46863.465	33125.066	45104.25	4861.314	41573.312	40308.258	52723.746	42835.77	26935.008	42514.945	46412.11	46324.977	0	38059.52	44033.312	42993.062	33612.44	26083.846	203939.6	284748.2	321317.66	314433.53	253019.6	279125.56	280595.1	314569.75	396148.25	205094.12	288641.44	323235.25	264110.03	261882.98	302678.44	240185.19	267791.9	330646.1	210771.61	277498.8	346900.9	404826.75	392915.84	356596.84	336326.28	317394.2	468865.66
P62854	RPS26	116227.33	138173.34	133762.84	199149.45	94999.2	157357.28	188313.83	203591.3	266759.5	130544.44	148671.44	116194.8	179334.19	119238.7	115737.266	173231.77	202617.97	262590.84	118648.36	150207.11	98239.75	180372.11	105453.375	118902.81	192166.97	182598.23	242419.11	190746.48	235183.72	198808.3	212651.22	221759.66	198667.23	196045.31	205454.06	225248.52	160245.9	216367.75	192553.39	208256.53	222956.28	240241.19	200013.53	201026.0	227909.47	183435.44	209643.38	182749.22	195998.22	219437.94	239915.66	191176.66	196792.55	258166.92
P62857	RPS28	0	0	0	0	0	0	27315.617	0	0	13943.724	6980.4253	2503.8843	6736.954	0	8220.577	11792.601	9696.086	0	13299.175	9325.525	0	7821.941	0	0	14990.206	7943.249	12142.364	305071.84	643046.56	253296.94	359053.28	305493.53	113236.53	155469.77	97037.84	426617.2	261868.72	381468.12	223968.42	414252.78	371896.56	175366.92	160489.89	136894.16	583828.1	358618.78	510868.75	289060.47	381158.12	404590.56	159982.22	170361.02	151251.92	616239.25
P62861	FAU	49248.562	69777.12	50548.973	93672.71	50635.273	40533.09	79325.65	87745.805	77079.164	59318.4	67750.74	45562.168	75295.86	41555.945	44574.09	65196.168	77386.38	75109.016	49410.59	53608.367	47566.51	83942.02	45698.81	40662.438	79588.97	82960.77	86437.61	117329.39	159132.84	136279.66	158977.78	139828.7	124109.55	121533.16	77365.875	177610.77	128174.44	117911.2	116620.21	87268.93	108343.89	124027.15	109037.875	79324.57	207893.69	94933.95	127177.0	122498.11	94088.555	95363.59	105631.125	130302.69	67395.47	204251.25
