PROTID	GENEID	cGFP_C1_6h_BioID_1_INT	cGFP_C1_6h_BioID_2_INT	cGFP_C1_6h_BioID_3_INT	cGFP_C2_6h_BioID_1_INT	cGFP_C2_6h_BioID_2_INT	cGFP_C2_6h_BioID_3_INT	cGFP_C3_6h_BioID_1_INT	cGFP_C3_6h_BioID_2_INT	cGFP_C3_6h_BioID_3_INT	cGFP_C4_6h_BioID_1_INT	cGFP_C4_6h_BioID_2_INT	cGFP_C4_6h_BioID_3_INT	cGFP_C5_6h_BioID_1_INT	cGFP_C5_6h_BioID_2_INT	cGFP_C5_6h_BioID_3_INT	cGFP_N1_6h_BioID_1_INT	cGFP_N1_6h_BioID_2_INT	cGFP_N1_6h_BioID_3_INT	cGFP_N2_6h_BioID_1_INT	cGFP_N2_6h_BioID_2_INT	cGFP_N2_6h_BioID_3_INT	cGFP_N3_6h_BioID_1_INT	cGFP_N3_6h_BioID_2_INT	cGFP_N3_6h_BioID_3_INT	cGFP_N4_6h_BioID_1_INT	cGFP_N4_6h_BioID_2_INT	cGFP_N4_6h_BioID_3_INT
na	na	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID
O75531	BANF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21806.314	0	0	12810.99	13811.765	12505.66	17169.043	19314.139	15301.01	49338.98	18871.83	29163.09
O75533	SF3B1	1754283.0	1688551.5	1712699.0	3968699.8	4001060.8	1755831.2	2977963.2	1852336.4	3004304.0	1493263.1	1402147.9	1547372.8	1426673.9	1386835.9	1463398.8	2480313.5	2454563.8	2594810.2	2580323.2	2520854.8	2672572.2	2339084.0	2479850.0	2279673.8	2208176.2	2149059.2	2323657.2
O75534	CSDE1	984403.6	970533.6	1020795.9	413133.12	475586.9	1036657.5	723322.06	908378.8	706384.2	994350.6	864023.6	979631.6	1033290.9	1078550.1	1069008.5	1432527.5	1420062.6	1600398.6	1722583.8	1649614.6	1701493.1	1850237.2	1953873.9	1776139.1	1586124.4	1564534.2	1802194.9
O75554	WBP4	16422.254	14351.688	14976.567	85165.28	73412.32	22227.17	77511.48	16745.385	76487.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75569	PRKRA	18632.916	0	0	0	0	0	15357.669	0	14020.188	0	0	0	0	0	0	48262.14	0	14269.424	32594.027	63939.99	48474.24	57852.598	46431.66	38288.496	40179.39	46596.574	47015.035
O75575	CRCP	51490.508	54480.695	57542.46	75851.67	79979.13	47899.234	57260.34	47473.965	56919.293	40164.54	41019.383	30998.676	37953.12	27922.64	30071.162	8462.797	23382.469	25135.865	28268.553	0	28796.938	0	0	0	0	0	0
O75582	RPS6KA5	25264.127	24694.674	20896.725	73174.48	91902.66	19162.469	39120.332	21621.736	34118.895	16365.67	21922.178	18026.447	15404.293	17859.086	16604.473	36837.906	33438.34	32635.645	39966.38	42063.156	38459.156	0	31064.244	0	40907.656	44066.516	38180.24
O75586	MED6	16622.268	0	12875.139	38208.223	36073.844	0	33253.312	8379.692	28482.85	28085.426	28915.729	25161.342	30397.398	13697.685	0	12973.055	0	28667.957	44172.03	41481.375	38506.484	9627.675	9204.786	8684.643	6786.486	0	8609.132
O75592	MYCBP2	0	0	0	90643.72	80898.875	0	85137.16	0	53138.848	0	6380.3955	0	0	0	4239.5376	265803.62	311027.2	315938.62	409955.03	376845.8	394536.9	264278.84	236543.75	261812.94	222751.58	352598.22	244360.67
O75600	GCAT	0	0	14784.15	0	0	16739.71	0	0	0	29787.7	33492.72	37728.504	37024.465	39623.76	37029.266	16238.787	13881.981	0	15900.286	15254.776	14343.694	0	0	19702.6	0	0	19657.275
O75607	NPM3	747996.8	731183.2	735228.6	1305634.1	1254944.4	666083.4	930173.25	607303.1	906552.6	396568.8	333467.84	352443.9	328283.5	347466.78	332704.38	458839.56	433226.4	472440.53	504567.78	601850.94	569814.2	331550.2	364453.28	367505.6	331174.84	304413.06	331343.22
O75616	ERAL1	47253.77	12886.293	44230.754	49634.082	49256.57	40565.61	53543.117	41861.297	47242.555	8981.148	43658.305	35017.293	9876.117	0	9646.28	36498.477	57126.21	73287.414	114520.84	121010.875	106330.84	102087.51	101092.05	105437.5	148391.56	157101.42	167719.89
O75635	SERPINB7	15509.174	15108.657	13359.296	0	0	16002.549	15028.643	0	14693.684	0	1817.071	9656.113	0	4706.3286	4218.456	0	0	0	0	0	0	0	0	0	0	0	0
O75643	SNRNP200	1829675.6	1805896.6	1782432.9	3466830.2	3591107.2	1770408.5	2715535.0	1883045.8	2628471.2	1445897.1	1496004.6	1675189.9	1583249.5	1471006.1	1421215.8	2894665.5	3136641.2	3211565.2	3648620.0	3787143.2	3827177.0	3132778.8	3446580.8	2992216.0	2888770.2	2951887.2	2877362.0
O75663	TIPRL	1836561.1	1852237.2	1856087.2	1533205.1	1743647.6	2284855.2	2129035.5	1885450.2	2337990.5	1890958.8	1361248.4	1622565.2	1857887.4	2003987.8	1859786.0	707504.8	764175.8	705500.9	653302.4	562305.9	581533.2	461838.0	470812.75	473587.12	457376.72	488016.75	447774.3
O75665	OFD1	193078.19	197005.02	190146.62	157048.44	124507.164	182643.75	125478.87	152979.11	143913.22	213424.36	176712.98	236300.61	184167.95	243043.19	241844.56	489803.06	528450.6	510350.6	569658.25	522911.25	541770.4	547672.6	477524.3	352250.5	405801.3	460902.0	440548.8
O75683	SURF6	0	22216.822	17778.232	32315.518	30686.006	21816.148	25721.113	19380.367	23289.166	0	0	0	0	0	0	18881.129	12399.125	34759.21	22002.629	39586.81	39310.03	0	8995.831	0	0	23253.896	0
O75688	PPM1B	24288.334	41959.65	15214.632	0	0	32591.967	0	0	0	0	0	0	18307.072	14733.423	0	0	0	0	0	0	0	0	0	8128.134	13278.458	14155.429	0
O75691	UTP20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19272.246	0	17826.695	0	0
