Protein.Group	8971_Liu_Cov_Lysate_32-1-1_S1-A2_1.d	8973_Liu_Cov_Lysate_32-1-2_S1-A4_1.d	8975_Liu_Cov_Lysate_32-1-3_S1-A6_1.d	8977_Liu_Cov_Lysate_32-8-1_S1-A8_1.d	8979_Liu_Cov_Lysate_32-8-2_S1-A10_1.d	8981_Liu_Cov_Lysate_32-8-3_S1-A12_1.d	8983_Liu_Cov_Lysate_32-16-1_S1-B2_1.d	8985_Liu_Cov_Lysate_32-16-2_S1-B4_1.d	8987_Liu_Cov_Lysate_32-16-3_S1-B6_1.d
O15540		1356.37	951.958		1314.57	889.116	925.426		1543.68
Q9Y5K3	6410.59	8073.77	7167.84	6695.53	6460.84	6447.54	6154.29	4786.93	5846.75
A6NDI0	16374.5	15438.9	14150.1	15601.1	15834.9	15936.2	16596.3	17674.6	18295.3
Q8IV16	402226.0	404368.0	400331.0	347602.0	360014.0	360488.0	378752.0	385974.0	398030.0
Q96SD1	3110.89	3678.66	3394.92	2576.51			1396.77	3227.48	2801.69
P08246	29665.4	34351.3	35620.6	20834.4	22336.7	22232.6	20580.1	23703.0	22681.6
Q9UNA3	3164.71	3722.03	3463.66	3251.81	3997.24	3697.8	2150.67	2913.47	2514.69
Q8N815	2195.02	3105.33	3275.98	4709.73	6137.24	5670.72	2107.91	2392.27	2199.55
Q9ULB5	4117.43	3984.43	2770.12	3394.45	4098.42	3515.38	2463.66	3149.47	2849.9
P52907	31507.9	22907.3	24615.6	20281.0	19412.5	26179.4	23002.1	24376.0	27641.0
I0J062	13944.7	14136.9	13029.1	15015.3	15969.7	13916.8	13408.5	14176.2	13026.0
Q96BD0	688936.0	681008.0	665970.0	542753.0	473910.0	459563.0	403268.0	427362.0	422925.0
Q68CJ6		4560.0	4501.68			4075.92	988.437		
Q8WUY9	46342.0	111675.0	50485.2	106020.0	134618.0	62396.7	2164.04	14963.1	49698.1
Q9BZD7	233883.0	215422.0	214542.0	198165.0	204085.0	203172.0	262271.0	245985.0	247566.0
Q969L4	4355.36	3532.74	3280.5	2486.54	3388.66	3329.46	3858.81	4199.08	5272.58
Q96KQ4	24282.4	25034.6	27812.2	26608.9	21689.7	26882.0	21432.3	21136.8	21697.0
O94777	12069.9	11704.2	9665.85	14591.9	14273.5	15072.6	17842.6	17508.3	15299.0
Q14994	24508.3	23617.0	24043.3	28881.1	24753.7	25937.6	28976.4	29885.8	30006.2
O75487	9763.3	6478.44	5247.14	15835.6	15700.9	15366.7	5410.0	5142.23	3351.37
Q9H4B0	2328.51	2541.04	3693.31	1306.05	2321.97	2103.36	4179.55	2946.64	3999.5
Q92830	28645.5	30726.2	28627.8	28528.2	26323.1	27818.1	25761.1	26215.6	24161.9
P22794	10647.6	10770.4	11991.4	14123.8	13647.3	13321.6	14241.8	13949.0	16144.0
Q58EX2	30153.9	26526.8	27446.2	27309.9	26567.5	27954.5	25830.8	24148.9	23847.3
C9JVI0	30381.0	31522.6	35018.0	33823.1	39553.1	36261.4	31214.2	29551.6	31835.5
Q9H840	43391.3	49296.0	47525.3	41934.2	35416.5	37947.4	33712.9	32883.8	31495.6
Q9H237	219285.0	222906.0	222889.0	235687.0	239698.0	230715.0	217600.0	210920.0	215394.0
Q9NZP0	4881.46	1402.56	3620.2	2075.99	1480.13	1481.74	6185.07	6285.33	9728.51
P11441	16328.5	15714.1	18016.6	11340.8	10817.4	6639.54	14305.6	15071.6	16088.9
Q9NY64	24262.0	18753.0	18072.9	42242.9	79298.1	87502.0	37690.9	23420.4	11967.7
P49447	10258.3	10175.2	9874.77	9246.98	11477.0	9751.62	12042.3	10973.2	10557.6
Q9H0C5	3294.8	2553.8	2877.07	2465.83	2350.96	1947.47	2124.29	3141.48	3293.45
A6NNS2	55133.9	57291.6	56948.1	56544.5	57298.9	60730.2	58288.7	56897.0	58178.0
P51784	15424.0	15842.0	15132.2	16684.0	15954.1	15781.4	16347.1	17600.5	17024.2
Q86VF5	6687.46	5516.77	6347.39	5965.91	5764.34	5938.3	5344.73	4763.66	5360.63
P20742	1221.57	1019.32	1716.74	1336.56	1466.46	1155.81	1870.15	2221.14	1585.76
P62491	1376.72	1364.37	1074.25	2050.22	1229.29	1310.22	1517.67	1208.38	1156.52
Q92917	6822.42	8491.12	7633.63	7901.06	7441.91	6792.61	7182.29	6555.04	5782.54
Q8IV03	3042.9	2611.24			1859.2		1328.69	1522.62	2467.15
P0DPF3	15522.2	17347.2	18206.9	17338.7	15968.2	17203.1	17791.5	19923.2	18100.6
O95988	1560.89		1523.17				1587.65		
P25205	57963.7	56586.9	54757.8	35186.9	35460.4	35367.8	34371.0	33575.8	32862.1
P0C7M7	10620.7	11036.7	13089.9	9236.35	9631.59	9542.77	12153.5	11736.6	11384.8
Q8N0Z2	23277.0	24882.3	24558.7	17945.2	18852.0	19859.1	16611.4	18476.5	18162.1
Q8N814	281756.0	284002.0	288784.0	365802.0	361060.0	376811.0	439935.0	449591.0	448291.0
Q9H4A4	9808.22	9875.04	12301.0	9711.49	10499.3	9944.75	11732.5	10878.5	11892.5
P0C7V7	7646.56	9909.15	8054.11	6968.71	6778.29	7035.93	7678.34	7989.63	8780.2
Q5SW79	54702.9	57663.2	55676.0	56421.9	59246.2	58388.2	60114.6	59793.5	55384.9
P05305	20414.1	21319.6	19789.3	25782.5	26682.3	25361.2	23189.7	22168.5	24926.4
Q8WTP8	14597.5	16294.4	16409.9	17120.7	17342.3	16981.9	20328.7	20719.2	18184.8
O14628	8389.64	9319.34	9839.97	8484.3	9081.88	7976.03	8881.83	7470.85	8193.9
P08034	109354.0	116491.0	114681.0	171766.0	157403.0	157048.0	155420.0	152514.0	149944.0
Q9BZ71	11859.9	12533.9	11602.3	15308.0	14963.1	13524.3	15446.9	14131.4	14682.8
A6NIV6	13546.8	16849.1	15103.0	17595.0	17116.0	15160.0	16817.2	16947.7	15652.4
Q7L266	1889.32	2084.05	1069.44	1193.38	1348.06	1231.17	1203.39	914.357	1218.99
Q9Y6H8	4199.03		4377.81	7782.88	3822.07			1089.34	2720.98
Q6NSZ9	3993.73	4739.7	4756.34	5075.51	4403.85	4162.11	5083.65	5112.5	6094.19
Q9BYE9	3560.36	3721.23	3845.33	4247.68	2964.26	3490.18	3633.68	3659.86	3970.03
Q9NZ32	9843.3	12197.4	12209.2	11860.1	11476.8	13153.2	15110.3	15434.6	14767.0
O43819	23844.6	23453.0	21252.9	20048.5	22843.8	19552.8	20981.1	22209.4	21919.4
Q92529	23277.3	24173.2	21076.8	20549.2	19750.9	23804.9	21378.1	22674.1	20320.8
Q5H9F3	3534.09	3231.28	3562.76	2827.92	3964.97	4370.4	5006.84	4454.93	4699.87
P10606	11980.8	13919.3	13932.7	13267.9	14514.8	11876.2	14692.1	16337.2	15029.7
Q6JVE9	9343.61	10498.5	11697.4	8481.64	9887.5	10811.4	13379.0	12119.1	15833.2
Q4AC99	473.416	3363.64	2594.96	1844.9	1875.37	2512.71	3251.07	4036.66	3867.93
Q9BQS8	2531.41	2331.24	2330.17	2073.47	2021.36	2267.1	3585.59	3062.42	3362.82
Q92575	30578.8	43130.1	45148.3	30881.2	33428.9	31368.6	60347.5	51616.6	58709.1
Q9Y5G8	6525.8	5427.59	6224.76	6122.5	4955.63	5870.36	6320.62	5325.18	4671.82
Q6UXK2	1829.22	3846.17	2807.95	1350.61	2183.27	2367.05	2226.94	2494.27	2638.81
P82933	4318.51	3695.46	3703.13	3598.43	3877.91	3341.1	3694.0	3168.47	3104.45
P48723	5768.65	4719.37	4124.96	3532.42	4214.61	4230.89	4237.37	3525.55	3804.9
O75951	7206.5	7968.69	7177.34	4369.27	6204.23	5574.78	5410.94	4953.63	5399.46
O95870	4792.12	3903.56	4368.98	3187.73	3520.36	4068.95	3657.16	4194.18	4163.39
Q6PIL6	3811.49	3674.49	3820.89	3812.94	3486.15	4188.02	3933.31	3927.39	4101.3
O95479	25786.6	27441.3	25641.5	26966.5	26891.2	27172.1	27877.4	29356.9	28507.0
O75541	2434.9	2460.19			1256.65	1909.44	1574.91	2969.2	2470.54
Q15528	596.786	442.276	729.443				488.862	666.03	785.253
Q53G59	27350.0	26295.4	28144.3	19097.1	19133.1	19026.6	18249.3	18903.3	18742.6
Q14563	6801.57	4300.81	4044.42	2271.52	2825.29	3526.65	2905.23	3604.29	3368.73
Q9Y5E2	6531.93	6913.01	6106.64	7080.73	6667.45	7702.03	7083.97	8466.47	7470.86
Q96S90	1736.29	3605.97	2872.52	2012.76	2255.48	1709.42	2895.11	3134.8	2986.76
Q8NH51	5623.57	5456.7	4413.81		3086.13	3602.45	3636.37	3081.01	3804.78
Q8NGA4		2321.41	3452.23	3531.19	4251.67	2516.0	2449.87	3733.7	3918.94
P08579	17011.9	15929.7	14950.1	14267.1	13812.9	13757.5	13919.6	12993.2	13196.0
Q8NCL9	16834.4	18087.4	16654.4	13404.6	13211.0	15406.4	12562.9	11671.6	12603.1
Q96GR2	2988.22	3091.45	3315.48	5046.48	4947.11	4027.76	4203.68	3698.17	3966.23
Q6ZR62	8004.67	7190.44	6732.23	8343.44	9734.79	8423.11	9833.23	9529.55	10348.6
P01906	2474.99	2216.86	3324.95	3617.28	3421.58	3307.12	4671.02	4432.41	4657.9
Q9UK97	10646.3	8102.32	5735.32	4066.09	4140.34	5278.39	2644.84	2969.91	5191.98
Q99973		4119.72	4109.79		2519.96	3263.88	2212.45	2980.17	2092.98
Q9BTM9	7284.95	7421.91	6357.72	7051.57	6287.97	6008.43	7065.36	7284.42	6548.41
Q9HCE7	9973.28	11536.3	12952.0	9989.16	8982.85	8549.77	9859.37	9480.24	9203.64
Q96PV0	13492.9	11376.4	11199.8	17087.9	15201.7	16224.0	15767.0	13488.7	15305.5
P49207	781.278	1783.22	1068.34	963.894	1075.26	1249.23	830.461	1402.21	1319.6
Q99643	19602.2	19233.6	19877.1	22323.4	19747.7	19664.5	21112.8	22383.6	22237.3
P36959	1562.51	1880.82	1000.48	1280.72	1104.81	982.049	1081.6	2152.36	1237.51
Q3MIS6	10698.6	7725.6	7609.6	6223.36	8648.53	11021.6	9801.31	12279.4	8572.74
Q96A57	4806.74	5154.61	7454.27	5864.76	5691.57	6911.66	6834.36	6962.44	6672.33
Q92611	3715.9	3098.22	3308.58	4448.99	5060.94	5112.17	3726.62	4464.61	4774.66
Q96M42	5880.86	5875.07	5752.72	2669.02	3885.25	2748.81	4373.81	4273.29	4292.0
Q9HB15		1841.3	1310.94	1025.64	697.036	593.811	1458.42	777.39	1100.52
Q8TAQ5	22387.4	21676.9	19737.6	16909.2	17642.5	18299.4	16588.0	18306.1	16884.2
Q9H8N7	30735.0	30096.0	32301.6	19538.4	22467.8	23450.1	21967.2	21646.1	21623.4
Q9ULK0	338861.0	344208.0	341173.0	280888.0	280916.0	302942.0	251007.0	251750.0	259667.0
Q96J86	19027.2	20941.3	19613.8	19503.6	20196.2	18397.2	26506.0	25966.5	25233.0
Q9Y548	10352.7	10155.2	9913.46	7307.19	7254.51	7232.24	7177.85	6430.44	7900.25
Q96PX6	27442.7	27471.5	27171.4	34544.6	34916.6	34359.8	36411.5	33393.5	33157.6
Q3ZCX4	16617.0	16124.7	16355.8	19414.2	15127.5	17809.7	17883.8	16672.3	18064.1
P20839				996.71	1316.6			267.592	775.909
Q8NGJ0	7912.82	8791.08	8420.37	8342.36	7239.63	7299.49	6640.88	7402.21	5654.96
Q9Y6Z4	35568.7	21842.7	23393.8	27035.3	33073.6	32021.4	24585.4	24611.8	24156.6
Q969U6	5040.92	3506.63	3703.49	3722.92	3920.42	3805.71	5996.16	5229.02	5484.1
Q8IWD4	18627.6	17371.6	16549.9	17634.5	16854.2	18766.0	16704.5	15112.6	16178.8
Q2NKX9	8805.83	9147.29	8734.95	8020.83	8748.13	7276.41	6978.26	6223.04	6870.19
Q8IYM0	14868.4	15634.7	16169.4	15826.0	15913.6	14655.6	16765.1	15806.0	16345.9
A0A0K0K1A5	38985.0	40297.1	36690.7	21016.0	25202.5	25564.0	24672.3	25634.4	26365.1
Q8N9Z9	2929.25	3847.64	4436.29	3367.34	4305.94	4211.83	5202.85	3918.86	4612.39
Q12882	2464.26	3757.81	3492.26	1926.76	2257.48	2349.0	2970.46	2727.96	2463.49
O14599	1559.38	2003.83	1854.33	2187.17	2068.96	1195.0	2425.62	1955.48	1676.28
Q9NQW8	15597.7	13277.1	14840.0	22820.2	20949.1	21889.9	22454.4	22496.7	21572.7
Q8NE71	18509.8	34794.3	42974.1	153800.0	151544.0	134433.0	99484.0	140162.0	138515.0
Q8NGK0	1313.72				2252.42	2019.98	1177.61	1724.08	2000.45
Q16610	1916.74	3267.7	2912.52	2545.82	2194.43	2151.27	2494.83		1991.36
Q7L2J0	25442.3	26977.1	27204.0	20703.4	23449.7	21403.1	22262.7	20730.8	20914.8
Q8WWM9	13132.6	13154.2	13208.3	14857.5	15315.4	14832.7	15003.5	15591.1	15171.4
Q6PJ69	6981.75	5835.62	7011.75	5216.49	5440.59	4707.06	5719.19	5218.2	5400.39
Q96A37	11211.3	13705.4	13327.5	14297.8	14410.2	14329.4	15955.6	15807.9	16448.9
Q6ZRS2	4141.81	5444.06	4637.38	5372.46	6061.67	4755.96	6371.04	6441.81	5462.33
Q9UKK9	21538.5	19191.5	19376.5	23468.7	24765.3	26357.9	24175.2	24532.6	25206.6
Q9HBT6	3138.78	3199.92	3208.72	2158.22	3506.45	2934.66	3115.58	3180.26	3489.43
Q96KF2	74542.5	77766.1	78953.0	72441.5	73166.3	66339.0	60908.6	63059.0	61146.1
O43679	34046.5	31588.6	30309.4	33478.1	34636.4	35678.2	35734.4	34116.0	33498.1
Q8TCD1	83488.1	81040.2	81792.2	76574.5	66309.3	73482.3	61279.6	65743.4	64813.5
Q8WYB5	68055.7	43276.2	60258.3	45922.0	75220.0	56250.8	49581.7	56964.3	40501.1
O95478	101127.0	101127.0	101183.0	85549.7	86471.2	92032.9	79509.2	84047.3	91204.0
P26992	9253.35	10396.6	13114.5	7172.26	8966.65	7021.94	9240.57	9316.06	12084.1
Q96RN1					1604.0		1196.52	1223.48	
O14810			797.048			1045.72		804.608	645.252
Q15032		947.993		567.732			743.464	1284.15	1315.98
Q13133		6065.28	6499.4	6671.08	8314.34	8042.13	7472.25	6857.18	6392.82
Q12766	16497.2	18275.2	17756.9	17598.5	14442.9	15669.7	15299.7	14881.4	13624.3
Q6SJ93	3086.57	2821.67	2623.17	2538.2	2849.43		1956.75	2993.74	2083.95
Q8WUQ7	23174.8	25347.9	23973.1	25807.7	24098.6	25728.4	27263.2	25970.8	26151.0
P31644	9148.91	9142.76	8348.67	10643.5	10863.7	10523.8	11943.6	11634.2	12594.2
Q7Z5A8	13402.5	14557.2	15758.6	10883.2	13125.8	12776.8	13496.0	13987.6	15415.1
Q6UXU6	3094.13	2852.2	2757.85	3566.3	3301.69	3115.83	3122.71	3029.45	3072.22
O00623	29491.2	27746.2	24977.3	27600.0	30787.2	31319.3	31963.9	31955.3	31021.5
Q9BUG6	10706.9	9413.09	11612.9	12639.7	11628.1	12882.6	11631.8	13061.8	11804.6
Q92990	16601.5	25253.6	26512.9	19281.4	21075.4	23690.9	17786.0	18568.8	18601.7
Q96RD2	6625.2	2563.39	2325.5	2459.7		2489.93		2353.5	3033.14
Q8NEK8	7303.47	7676.66	7676.98	9499.59	8476.93	9241.74	10047.8	10383.0	9583.33
D6RGX4	2206.82	2025.26	2531.29	1490.41		1420.44	1266.89	1186.52	1589.82
Q9NVH0	17404.5	20099.7	17914.8	19931.9	21994.0	20663.1	24397.8	25515.7	23616.0
P84022	3405.21	3205.51	3312.72	1955.91	2688.11	3278.43	1942.33	2405.05	3165.52
Q6EMB2	2625.3	3828.66	2696.13	2417.01	2619.59	2145.12	1978.82	3394.29	2658.46
Q96G46	3798.89	2411.62	2365.23	2763.84	2230.82	2418.25	2400.61	2815.86	2292.15
Q8NCD3	3068.09	2899.68	4000.11	3159.77	4057.19	2753.31	2297.32	2540.2	3089.25
A0PK00	36050.8	34001.9	31141.3	29135.4	21874.6	28565.3	23036.1	25633.8	24637.4
Q7Z7A4	27500.2	29689.7	29864.1	29653.5	28008.2	28228.4	25412.0	26372.4	26018.5
Q9P107	3909.12	4551.62	5413.9	3428.88	5368.63	3089.16	3915.21	4639.46	3997.14
P56880	1496.01	1254.06	1725.58		687.564	715.31	698.375	805.981	
Q9NX09	4707.48	4370.36	3690.18	2359.31	2943.72	2436.96	2226.68	3724.68	2753.25
Q6UY18	46555.4	43266.3	42254.4	34573.5	35466.0	34796.9	36070.5	36195.9	35893.4
P30518	16798.9	18110.5	19634.1	12353.4	14162.0	13225.9	14794.7	17632.6	21562.7
P28066	29229.0	31508.9	29716.4	27123.8	26629.0	30076.9	28033.8	29552.0	29380.3
Q92871	22770.3	11056.6	8458.68	23640.3	16983.1	23941.3	7089.89	11206.9	6785.61
P78316	1544.12	2829.59	2489.77	2137.76	1763.29	1988.57	2713.45	2139.81	2899.16
A6NF89	7595.82	9272.06	7344.49	6880.22	6396.43	5807.34	6622.98	5890.83	6417.7
Q9UKG9	10706.4	10183.6	11016.4	10117.8	11184.3	10264.4	11021.6	13260.1	12970.4
Q5TA45	7071.54	7556.66	7787.05	5932.76	6084.06	5573.4	7276.54	6005.86	7672.06
Q9NVD3	6541.03	6312.52	5890.28	4970.7	4836.7	3939.3	4811.5	5435.55	5288.63
P30041	4648.92	4610.58	4887.27	5389.56	4495.81	4516.12	6485.12	7045.92	6813.73
Q9NZ94		3913.28	4512.94	4135.17	2974.22	2875.8	4149.43	3698.76	3108.56
Q14151	9021.13	8414.12	8887.59	9562.73	9774.75	11137.9	10028.3	10058.0	10136.5
Q9BY19	5464.99	6495.32	6431.33	8185.68	9267.22	7886.41	7155.04	9539.43	9350.63
Q8NHP8	2197.18	2883.01	3219.71	1898.24	2456.1	2069.95	2758.19	1315.16	1840.46
Q13410	8308.63	8598.14	10023.5	5944.94	4844.47	7265.85	4890.2	5397.75	5667.9
Q9HAU8	9482.47	9664.34	8725.33	7174.84	6608.13	7250.52	6163.14	7150.81	7702.99
Q6ULP2	4634.66	1718.73	1059.67	7340.06	5624.06	4368.22			
Q9UPQ3	5650.02	9162.17	9018.34	5609.9	5733.74	7080.65	5962.7	7289.73	4692.91
Q5VTB9	9420.29	9016.39	8954.58	11080.2	11512.3	11795.4	12510.9	11235.3	10778.9
O43747	17337.9	17467.1	15623.6	18606.0	18825.7	18252.7	21984.4	18981.9	20151.7
Q08499	30053.9	31483.9	33438.1	43103.4	43558.9	40887.5	49060.6	49240.4	51203.2
P35222	1594.24		1850.99		1977.6	1440.91	1635.75	2254.39	1813.36
A0A0U1RR37									
P23769		3349.82	4030.42	2928.46	2355.73	3761.54	1809.77	2081.43	2154.54
E2RYF7	4214.24	3111.54	5358.66	4474.34	4746.34	4396.02	4237.31	3478.03	3793.31
P16581	21708.9	26550.0	23868.0	19747.4	20641.2	19146.8	21500.7	20057.7	18664.0
Q13322	11978.3	10776.3	10054.4	13188.1	12830.5	14703.0	14997.3	15580.3	16275.6
P25105		1042.72		720.059			584.972	685.784	391.092
Q86VL8	1529.7		1523.7	1929.63	1118.85	1310.24	1478.99	1361.13	1522.92
Q9BRA0	5725.4	5206.44	5675.81	5446.13	6424.27	4337.77	7719.95	6444.33	6379.64
Q14435	12243.9	14418.5	13080.9	13974.4	14254.9	14533.0	15792.2	16125.3	18850.6
O00295	1297.35	1958.9	808.376	1821.21	1530.85	2194.66	2779.37	1774.01	2018.72
Q8IXS2	5307.45	3498.28	3478.27		3065.75	3969.67	2867.77	3367.05	2710.07
P34998	8880.42	7446.56	8265.16	5866.73	6504.25	6291.04	5398.17	4538.87	5837.59
Q52LG2	7524.02	6838.02	6413.44	5977.47	7747.51	6949.28	8391.75	8196.37	8362.08
O15533	33205.9	30663.1	29360.7	29457.1	29522.1	30499.1	29697.1	32650.0	31693.9
P15090	8982.22	9345.23	7503.75	6658.29	6243.2	7676.81	9727.15	8748.89	7691.36
Q5JPF3	1599.9	962.0	1155.58	910.09	795.399	1632.68	965.889	839.934	1399.84
O15525	96295.0	77979.2	85197.0	66132.4	63880.3	66196.9	58681.0	66557.0	61013.0
Q16740	5082.33	3269.6	2166.45	3904.87	4902.76	4078.08	5422.24	3181.16	3358.09
O43278	8612.08	10350.1	10288.3	9756.41	8653.26	8368.27	10032.5	10031.1	9641.95
Q70UQ0	12361.0	9490.29	9817.23	12460.7	12420.9	12652.0	14223.3	13274.7	13648.0
Q9Y2C3	3066.87	3314.83	3611.44	2936.06	1954.05	2164.98	2455.0	2052.81	2298.34
Q16611	5180.05	4176.82	4674.99	4821.71	3797.96	4066.96	2935.83	3334.37	3100.94
Q13449	41382.0	52896.1	48262.4	55528.0	61659.2	58826.2	57208.8	59419.8	53802.1
O94788	6242.9	5444.6	4353.65	4276.88	4844.48	4369.79	4269.77	5352.31	4956.51
O95954	80252.8	81841.4	81859.3	65277.0	65301.0	67400.0	67599.4	73418.0	78392.4
O00444	7108.82	2863.64	2397.71	2298.5	2612.92	2610.26	3458.91	3087.01	2134.95
Q8NDV7	13110.9	8372.7	11322.8	15913.0	13617.5	10570.1	13033.5	12230.0	11276.2
Q9NZ42	51151.5	56147.4	54349.7	48464.1	40979.8	48642.3	47337.9	40689.4	44897.6
A8MTA8	8754.16	9303.65	9942.18	6487.06	6987.78	5932.4	6372.54	6380.36	7778.26
Q9ULM6	771.748	1229.53	542.319			789.104	776.309		669.432
O00115	29059.9	34050.5	29645.4	26727.4	27287.7	27586.1	25364.6	24842.0	22145.5
P0DTE1	2739.15	2995.17	3461.08	1565.87	2106.31	2174.94	1754.6	2127.95	2793.43
Q9P2N2	6257.83	7048.33	6894.1	5759.69	5323.56	6483.59	6108.69	6755.99	7307.79
Q8NES3	1513.06	1672.76	1401.48	1827.76	1942.86	1457.56	1959.63	1983.12	2244.67
Q9Y4R7	27332.7	30868.5	30702.1	21737.1	28472.6	22888.1	29638.4	35193.3	34716.4
Q9H0Y0	3450.51	2287.86	2954.23	2822.29	2968.19	2952.48	3292.59	2716.62	3741.31
Q53H80	9112.38	7524.39	6987.65	8323.81	7117.4	6703.0	5156.72	6308.16	5774.66
Q9HCP0		4140.16	4683.98	2363.51	3398.1	2508.87	2952.22	3012.87	2770.98
O75367	24298.3	21388.1	21655.7	16394.3	14998.6	16670.0	13878.1	13368.7	13136.1
Q92608	23425.7	27066.0	23226.2	29229.0	29053.5	33203.4	28192.4	28383.1	28143.0
Q8TB61	81208.3	79100.5	76931.0	62525.1	56709.8	60535.8	54131.2	51469.2	51516.7
Q14654	52007.9	49644.0	52362.9	48317.7	45394.8	42921.1	38736.0	40097.2	38259.0
P14416	16396.5	16876.0	17296.9	15461.1	18704.4	20441.5	20804.0	20280.0	20395.6
Q6B0I6	3150.14	3216.26	3022.24	4171.91	2908.13	3141.63	3968.18	4790.28	5046.13
Q96RM1	2035.6	2238.02	1703.2	2126.26	1469.48		2783.23	2690.53	2677.01
Q9NQ48	10788.4	10607.8	10266.0	9368.96	7796.04	8575.71	8580.96	8223.02	8684.26
Q04118	20887.3	23282.9	22836.5	21055.2	23910.0	24652.9	24394.6	26765.0	26108.5
Q9H3U5	73895.7	78687.9	72997.1	77995.1	78942.0	76087.8	69223.1	66628.8	67176.0
O95267	7118.87	8365.89	7962.89	5471.25	5861.45	5697.19	5590.29	6232.74	5950.04
P81274	1105.02	1717.8	981.364	1138.24	1361.34	1044.71	1350.3	1328.38	1396.32
Q14330	811639.0	651397.0	645577.0	779522.0	802761.0	796776.0	902122.0	834727.0	686592.0
P11362	222315.0	223765.0	221763.0	230529.0	217419.0	230988.0	268544.0	263661.0	270958.0
Q6UXR6	608158.0	285433.0	268418.0	508109.0	349607.0	487822.0	297280.0	284715.0	248254.0
Q6PHR2	527945.0	449495.0	520779.0	975183.0	627319.0	731522.0	465267.0	704161.0	559494.0
C9JQI7	315471.0	312651.0	380969.0	456213.0	408090.0	415031.0	455510.0	451103.0	394147.0
Q96JX3	8791.53	8669.76	9835.28	10710.7	12249.9	10664.9	14789.5	17433.8	15119.3
Q6VMQ6	10176.0	9963.49	9255.87	8617.42	8913.52	8202.98	9188.63	9794.05	9280.96
P50479	3299.96	4854.78	4609.53	3036.99	6340.55	6334.2	3394.26	2190.74	3843.56
Q9H4L7	3982.64	4301.31	3636.64	3434.69	2994.04	3539.28	5245.08	5255.05	6145.39
Q8N819		5094.72	4339.54		2364.99	7107.42	9038.86	1961.98	8289.13
Q8NEM8	396.936	138.447				572.691	620.733	454.139	864.092
Q9BVX2	9575.62	10602.4	10876.9	7269.83	9962.89	8972.01	7830.89	8497.97	7855.16
Q8N7X1	9580.44	14919.1	18442.7	3885.79	9065.49		12412.6	11620.5	10747.0
H7BZ55	170765.0	170247.0	170911.0	115790.0	112241.0	110222.0	109314.0	111069.0	114238.0
A6XGL0	10723.3	11708.2	11729.9	8129.58	8707.22	8705.27	8845.2	9630.88	9336.12
Q7Z569	3553.44	2861.21	2794.58	4313.67	4506.51	4408.99	4843.79	4738.2	4064.21
Q8NDW8	484.62		736.619	1023.43	468.953	945.428	550.029	430.413	553.884
Q9UK12	14109.1	13349.3	14300.9	8747.71	10323.1	11122.2	8726.63	8569.16	8967.67
Q86TL0	2497.86	3146.42	3320.26	3858.97	4923.14	2781.89	4096.29	4149.99	4512.03
O75880	16052.7	16476.7	15988.6	15824.8	16756.6	16093.4	18528.7	16604.2	17678.8
Q6NXG1	578.159	1099.71	604.494	797.661	617.829	392.636	573.19	614.366	792.412
P09681	3762.26	2517.85	2144.81	1388.55	1724.21		2395.32	1822.09	2275.29
P35716	9880.61	8721.14	9542.27	11034.3	10390.2	10631.1	12148.1	11215.6	12165.1
O15169	19866.6	17574.7	19954.1	17064.8	15984.7	19381.6	19341.8	18864.9	19103.6
Q9H2G2	1696.16		1578.9		836.941			2317.75	946.951
P08861	3476.38	3795.03	2252.28	1791.87	2912.53	3080.38	2587.89	2471.39	2261.98
Q49AJ0	17073.4	17754.3	19757.8	15638.8	14802.5	15062.3	18472.6	18656.3	19058.8
Q7Z614	109750.0	101650.0	99720.0	94477.3	96231.7	93374.0	96604.5	97009.6	87481.6
P55263	10343.7	9498.3	10264.2	8251.39	7384.58	9238.91	7827.6	6395.2	8320.31
Q3LI68	16172.0	21393.4	23283.2	10066.9	15159.2	16866.1	18151.0	11862.8	15543.2
P55771	5273.18	6898.65	6114.47	3534.74	3786.28	3609.85	3718.9	3972.07	3957.68
O43493	3450.41	3372.95	3922.08	3473.11	4182.98	4723.42	3472.07	3699.81	4042.51
P28329	23845.0	22599.4	23761.3	23666.9	23360.4	23437.1	25732.3	26913.1	27094.7
Q6ZUT4	24131.6	25094.6	24542.7	27732.9	26749.7	27402.9	31223.1	31932.8	31211.4
Q5SZD4	10117.2	10691.2	11078.1	8458.12	9181.74	9612.07	8119.7	10377.9	10290.5
O60547	6210.92	7398.41	6033.09	7888.52	8340.27	7668.54	7641.27	6814.28	6934.62
Q9UDV6	1067.5	1065.78	1346.65	1370.48		1009.67	1550.47	1373.23	1831.07
P02751	4719.23	4690.77	4957.0	6172.0	6573.48	6399.71	8200.13	4138.46	6003.49
A0A075B6J9	4416.47	5944.41	7210.47	3960.16	3389.98	3671.11	3871.87	2614.91	3923.62
Q4G0J3	15831.5	17639.0	16779.0	16411.4	17203.6	17335.3	21584.7	20236.4	20606.0
O15066	1212.45			1034.42		1217.9	1701.93	1422.99	1134.53
Q13607	8280.01	7020.2	6787.69	9324.29	10773.6	9887.18	7961.7	6703.06	5484.66
Q9Y530	51946.9	56074.8	55899.1	63859.6	68881.9	65868.8	80922.7	82621.8	81987.6
Q86WB7	1103.34							936.223	816.203
P59510	18894.1	19443.1	20647.4	16519.3	16256.3	19470.6	17718.7	18196.5	18511.2
