Protein.Group	8971_Liu_Cov_Lysate_32-1-1_S1-A2_1.d	8973_Liu_Cov_Lysate_32-1-2_S1-A4_1.d	8975_Liu_Cov_Lysate_32-1-3_S1-A6_1.d	8977_Liu_Cov_Lysate_32-8-1_S1-A8_1.d	8979_Liu_Cov_Lysate_32-8-2_S1-A10_1.d	8981_Liu_Cov_Lysate_32-8-3_S1-A12_1.d	8983_Liu_Cov_Lysate_32-16-1_S1-B2_1.d	8985_Liu_Cov_Lysate_32-16-2_S1-B4_1.d	8987_Liu_Cov_Lysate_32-16-3_S1-B6_1.d
C9J3V5	104977.0	102548.0	93519.7	75839.1	69635.1	76864.1	74941.8	65828.9	66514.2
Q14457	54905.8	53049.5	56527.5	48887.4	43151.1	47424.8	42552.8	43120.8	39116.8
P56182	17458.2	16953.3	17278.6	15269.9	17182.9	16262.1	16512.8	17361.6	15687.4
A6NN73		4928.6	3134.31		9339.8		7054.38	6691.15	6864.37
Q9UIW2	330823.0	298966.0	289705.0	305995.0	302893.0	292406.0	319895.0	294781.0	313685.0
P48436	131627.0	179490.0	161959.0	219239.0	219000.0	219186.0	205924.0	199105.0	211374.0
Q96FC9	85854.3	54769.7	35753.3	87855.3	68945.6	83526.8	46949.4	37912.8	35044.2
Q8NGG3	245112.0	196522.0	190117.0	244905.0	242291.0	223528.0	229267.0	250986.0	216530.0
Q96A58	26572.0	24755.9	23411.1	28428.5	30228.7	32851.1	26673.1	27953.9	25235.5
P55160	9164.6	11668.9	10393.2	6536.4	7425.94	8636.45	9518.0	9235.59	9002.48
Q9H7Z6	15882.9	16407.3	14504.1	14344.5	13578.7	12325.2	12114.2	12629.1	13134.3
Q8WUD6	65130.3	60680.1	61346.1	56220.1	63560.4	60391.1	57551.8	56425.4	50701.4
Q8NCQ7	11130.7	9700.04	11354.7	7302.08	7179.06	6596.28	7275.87	8798.65	7950.54
Q5TB30	50138.7	55105.2	56733.7	49775.0	53944.2	52020.2	53811.0	52703.9	54836.5
Q9NVP1	115005.0	98887.9	95564.8	112639.0	80801.6	95485.8	98372.1	112965.0	90754.2
Q8IV08	147528.0	151724.0	152413.0	185368.0	176888.0	190944.0	184850.0	177227.0	153975.0
Q8TAT5	264352.0	259614.0	282813.0	174534.0	164397.0	180288.0	177668.0	177050.0	158835.0
Q9Y6C9	6512.91	5715.59	6660.84	4765.45	4592.86	3994.98	4406.29	3205.95	4404.39
Q969M3	11928.1	10659.4	12548.7	6127.45	3326.85	7166.72	4020.06	6933.77	8785.11
Q9H720	11283.9	11903.4	11140.0	13710.6	12273.1	12091.4	11672.5	12555.7	11969.5
Q5T9Z0	4688.74	7439.99	5359.14	7016.46	6229.07	6675.48	7480.94	6907.51	7236.78
A0A1B0GTR3	17481.2	18304.3	18469.9	19574.4	18279.2	17705.9	17688.3	18826.1	18769.2
A0AVF1	16491.4	16322.8	18191.3	14980.6	13038.1	15733.0	11491.0	15657.4	17295.1
Q13021	6618.18	6521.51	7029.67	4253.84	4150.54	4059.05	3624.28	4243.25	4879.92
O15466	4101.27	3531.39	3623.72	3531.75	4263.5	3877.13	4294.95	5093.88	4614.79
Q4G148	53595.6	55436.0	57314.0	41807.2	36012.1	40023.1	34340.4	38029.9	36530.1
Q8IXF9	1376.23	1198.27	1535.49	549.097		1155.32	804.384	333.789	632.164
Q6QAJ8	71392.5	74631.8	75462.0	56675.0	59269.1	55033.2	63009.1	58276.7	63448.7
O15499	186854.0	183531.0	184016.0	155608.0	154534.0	158249.0	156252.0	147041.0	148659.0
Q8N976	3492.76	4243.75	3343.55	5368.66	4248.29	3815.73	5942.09	6236.48	5890.84
Q8N0V1	1638.59	2049.18	2573.13	1886.36	2191.09	1802.42	1956.4	2192.27	2454.72
Q8IWY4		903.017	1695.99	2377.8	1450.82	1996.69	2654.64	2150.34	2185.91
Q9NXH8		9584.21	10652.9	4784.76	5606.75	5016.46	6933.94	5363.81	6572.17
Q9P2T0	44819.7	50813.4	46205.5	32753.6	34724.5	34972.8	37247.8	33486.3	34180.3
Q6ZP68	310693.0	194127.0	192134.0	158657.0	218921.0	216748.0	214008.0	220374.0	215797.0
Q9Y4M8	268934.0	272589.0	270539.0	208255.0	211700.0	197508.0	232012.0	228424.0	237964.0
A6NL88	119019.0	132843.0	129827.0	114328.0	129872.0	136238.0	114410.0	131520.0	122110.0
O75192	10855.8	5787.94	5915.32	3814.9	5784.85	5581.6	6146.55	7024.62	6080.21
O43761	7994.2	9914.64	8781.7	8676.77	7785.59	9629.18	8414.63	8341.08	8048.81
Q86SH4	26293.4	27259.4	28776.0	24335.6	21817.2	21105.0	20523.9	19841.0	20863.3
P20155	8593.51	10415.0	9704.13	12531.7	11695.9	12370.3	12206.9	12467.9	13822.1
Q9HBU9	36506.3	37020.7	33382.7	42526.7	39992.6	43164.8	50585.8	48710.2	46971.6
Q8TBY8	4810.11	5730.92	5236.96	4668.79	5637.48	5518.27	5206.04	3554.63	4526.89
Q9BXB5	9643.34	5513.27	6557.46	8444.7	7505.1	7629.89	6294.73	7517.91	6479.06
O00482	1283.13	1451.42	687.259	1780.21	1324.19	2025.59	2203.4	1807.08	1325.07
Q96AC6	76500.5	76792.8	76305.9	86691.2	85573.1	83294.5	91495.5	92101.9	93344.3
Q8NBM4	14773.1	14122.2	13534.9	10134.8	10945.3	10294.3	8219.03	8891.02	8397.38
