PROTID	GENEID	cGFP_6h_BioID_10_1_INT	cGFP_6h_BioID_10_2_INT	cGFP_6h_BioID_10_3_INT	cGFP_6h_BioID_11_1_INT	cGFP_6h_BioID_11_2_INT	cGFP_6h_BioID_11_3_INT	cGFP_6h_BioID_1_1_INT	cGFP_6h_BioID_1_2_INT	cGFP_6h_BioID_1_3_INT	cGFP_6h_BioID_2_1_INT	cGFP_6h_BioID_2_2_INT	cGFP_6h_BioID_2_3_INT	cGFP_6h_BioID_3_1_INT	cGFP_6h_BioID_3_2_INT	cGFP_6h_BioID_3_3_INT	cGFP_6h_BioID_4_1_INT	cGFP_6h_BioID_4_2_INT	cGFP_6h_BioID_4_3_INT	cGFP_6h_BioID_5_1_INT	cGFP_6h_BioID_5_2_INT	cGFP_6h_BioID_5_3_INT	cGFP_6h_BioID_6_1_INT	cGFP_6h_BioID_6_2_INT	cGFP_6h_BioID_6_3_INT	cGFP_6h_BioID_7_1_INT	cGFP_6h_BioID_7_2_INT	cGFP_6h_BioID_7_3_INT	cGFP_6h_BioID_8_1_INT	cGFP_6h_BioID_8_2_INT	cGFP_6h_BioID_8_3_INT	cGFP_6h_BioID_9_1_INT	cGFP_6h_BioID_9_2_INT	cGFP_6h_BioID_9_3_INT
na	na	cGFP_6h_BioID_10	cGFP_6h_BioID_10	cGFP_6h_BioID_10	cGFP_6h_BioID_11	cGFP_6h_BioID_11	cGFP_6h_BioID_11	cGFP_6h_BioID_1	cGFP_6h_BioID_1	cGFP_6h_BioID_1	cGFP_6h_BioID_2	cGFP_6h_BioID_2	cGFP_6h_BioID_2	cGFP_6h_BioID_3	cGFP_6h_BioID_3	cGFP_6h_BioID_3	cGFP_6h_BioID_4	cGFP_6h_BioID_4	cGFP_6h_BioID_4	cGFP_6h_BioID_5	cGFP_6h_BioID_5	cGFP_6h_BioID_5	cGFP_6h_BioID_6	cGFP_6h_BioID_6	cGFP_6h_BioID_6	cGFP_6h_BioID_7	cGFP_6h_BioID_7	cGFP_6h_BioID_7	cGFP_6h_BioID_8	cGFP_6h_BioID_8	cGFP_6h_BioID_8	cGFP_6h_BioID_9	cGFP_6h_BioID_9	cGFP_6h_BioID_9
O00571	DDX3X	8882037.0	1.0152577E7	8292290.0	8854508.0	8970977.0	8038689.0	1.062242E7	1.0786995E7	9874612.0	1.0873505E7	9997122.0	1.0639358E7	1.0418891E7	1.0947524E7	9300270.0	1.0564201E7	1.0280448E7	9821253.0	8278106.0	8264198.0	7950256.5	8759520.0	7650967.0	8690708.0	8194701.5	8253614.5	7911215.5	8139121.5	7870004.0	8808863.0	1.0678975E7	1.0698661E7	9922956.0
O00628	PEX7	81122.03	101529.96	71311.55	99653.27	89839.336	74453.14	78053.22	35241.438	81493.734	72781.914	34768.9	73707.016	65394.82	67489.82	31662.2	37484.176	47599.383	55562.598	63600.848	36274.523	62940.383	76487.87	65623.55	63012.71	64605.32	64199.58	61889.637	71918.0	82764.76	64440.87	106904.47	100948.83	93938.766
O00629	KPNA4	693561.2	670383.9	627923.9	676805.0	641307.25	627877.7	647855.0	629821.7	595624.2	746482.2	729863.2	703135.7	685401.6	665510.56	711839.4	735669.56	707095.6	633372.0	473460.44	507684.8	394627.4	453374.84	429265.25	504179.6	514205.7	470181.72	494090.97	679699.4	669004.2	632914.56	680875.2	668228.06	674308.3
O00635	TRIM38	9701.368	7891.4277	8607.903	9865.821	7336.2607	7616.221	7581.5854	3590.4404	7747.8003	5767.116	4312.912	8969.501	5285.598	6196.379	6289.5825	6175.1533	5324.1895	5112.559	13500.498	11278.799	7454.642	0	6614.224	0	9596.39	7889.59	9886.485	9208.012	7908.62	8096.392	9335.459	8626.618	11901.096
O00712	NFIB	0	0	0	0	0	0	0	0	0	0	21216.307	0	22731.016	20015.432	20141.088	21478.94	0	13535.034	24043.867	24821.979	22433.771	23674.09	22253.58	22653.012	22279.193	20041.264	19709.38	0	0	0	0	0	0
O00716	E2F3	327640.44	371252.7	404795.0	350989.6	392563.5	446702.0	505748.1	548552.75	408814.5	497039.6	483356.4	485607.94	522576.25	483776.06	469924.44	488397.16	484087.56	418827.03	295237.38	295537.56	288564.84	273882.4	223746.22	299152.4	247495.33	259317.75	260211.11	408429.7	470793.44	397567.56	321162.88	343461.66	338981.38
O00743	PPP6C	291573.56	340730.72	323243.4	367082.88	339201.06	314256.06	496099.7	503517.5	463988.72	539775.4	547058.44	533072.25	538999.94	520645.7	490236.9	531270.6	482373.5	518502.47	522626.5	454202.34	450234.38	521032.4	493269.8	471114.66	538706.5	470163.53	429842.38	314883.75	310556.66	312560.66	390479.88	382276.47	342540.38
O00750	PIK3C2B	94241.234	90852.43	84654.34	74127.56	86089.02	91825.4	53918.61	37388.035	44397.97	68817.695	32818.375	158348.06	174454.47	39211.54	152490.97	42579.207	44800.633	47106.6	105020.89	101698.0	66220.91	127497.53	102397.54	79029.1	42053.766	76779.54	62411.523	88466.766	64898.92	81436.69	78438.97	59481.027	48431.04
O00754	MAN2B1	0	0	0	0	4395.8735	3255.407	16775.84	5129.3906	0	0	0	0	5135.051	4759.96	46547.35	0	5657.4956	0	2105.5376	0	0	0	0	0	0	0	0	0	4979.8047	0	0	0	0
O00762	UBE2C	201471.56	232381.14	211039.44	222714.52	237125.34	216612.88	142879.27	129085.67	147643.2	142321.16	136371.64	147670.44	138094.48	150313.61	139656.16	144104.69	152158.88	136098.58	157079.34	145950.94	139124.14	148582.4	149069.34	198094.47	101505.95	166232.77	144380.02	193278.33	182433.25	205690.12	215914.86	243702.06	219140.22
